nombreTopico,eventos
Derecho a la cultura,439
Acciones administrativas ultra-vires,432
Derecho a igualdad salarial,432
Establecimiento de tribunales militares,421
Inmunidad del jefe de estado,420
Dignidad humana,416
Apoyo estatal para personas con discapacidades,414
Derecho a juicios públicos,413
Derecho a establecer un negocio,409
Igualdad sin distinción de raza,404
Igualdad sin distinción de género,403
Apoyo estatal para adultos mayores,397
Asistencia de los legisladores,392
Derecho a descanso y ocio,391
Capital nacional,390
Protección del medio ambiente,388
Derecho a huelga,387
Prohibición de juzgar dos veces por la misma causa,387
Referencia a la fraternidad/solidaridad,386
Legislación nacional vrs. sub-nacional,378
Reunión conjunta de cámaras legislativas,375
Censos,372
Límite a los periodos de los representantes de la primera cámara,366
Derecho a un ambiente laboral seguro,357
Derecho a libertad durante la duración de un proceso penal,342
Derecho a proteger la propia reputación,342
Duración de un juez de un tribunal ordinario,341
Líder de la segunda cámara,340
Protección del salario de los jueces,339
Radio,337
Telecomunicaciones,334
Banco central,320
Límites relativos al empleo de menores de edad,317
Órganos consultivos del Jefe de Estado,317
Supervisión legislativa del ejecutivo,316
Presunción de inocencia,315
Tamaño de la primera cámara,312
Remuneración de los legisladores,308
Idiomas oficiales o nacionales,303
Derecho a formar partidos políticos,302
Tamaño de la segunda cámara,302
Bandera nacional,300
Prohibición de la pena de muerte,300
Derechos de los menores de edad,297
Sufragio Universal,295
Organizaciones internacionales,293
Obligación de pagar impuestos,292
Derecho de amparo,283
Límite a los periodos de los representantes de la segunda cámara,277
Protección contra confinamiento injustificado,277
Sesiones públicas o privadas,277
Restricciones a derechos de grupos,275
Apoyo estatal para menores de edad,271
Televisión,270
Apoyo estatal para desempleados,263
Himno nacional,262
Voto obligatorio,260
Igualdad sin distinción de religión,259
Religión oficial,259
Establecimiento de un consejo judicial,257
Jurados obligatorios,251
Derecho a un mercado competitivo,249
Igualdad sin distinción de estatus social,249
Protección de personas sin patria,244
Garantías de debido proceso,242
Igualdad sin distinción de origen,242
Declaración de independencia del ejecutivo,238
Derecho a examinar evidencia/testigos,233
Derecho a juicios expeditos,233
Protección al consumidor,227
Partidos políticos prohibidos,225
Edad de jubilación forzosa de los jueces,224
Límite a los periodos de los jueces en tribunales ordinarios,224
Referéndum,223
Igualdad marital,222
Edad mínima de los jueces que forman parte de los tribunales ordinarios,220
Obligación de trabajar,213
Duración de un juez del Tribunal Electoral,210
Destitución de la legislatura,206
Revisión federal de legislación sub-nacional,206
Derecho a la información,203
Acceso a la educación superior,198
Establecimiento de tribunales administrativos,198
Separación de iglesia y Estado,197
Igualdad sin distinción de color de piel,188
Derecho a un estándar razonable de vida,186
Disposiciones constitucionales no sujetas a reforma,186
Derecho a un juicio justo,182
Integración de comunidades étnicas,180
Derecho del acusado a ser juzgado en su idioma nativo,177
Privilegios para menores de edad en procesos criminales,177
Derecho a formar una familia,176
Derecho de transferencia de propiedad,174
Súper-mayoría necesaria para aprobar legislación,172
Financiamiento de campañas,170
Establecimiento de tribunales laborales,166
Estatus fiscal de organizaciones religiosas,163
Derecho a albergue,161
Grupo(s) regionales,161
Redistribución de la riqueza,160
Facultad para deportar a ciudadanos,159
Igualdad sin distinción de fe o creencias,157
Opiniones de la Corte Suprema,156
Remoción del jefe de gobierno,155
Derecho internacional consuetudinario,153
Prohibición de castigos corporales,153
Establece la posibilidad de matrimonio civil,150
Duración del cargo de Jefe de Gobierno,148
Protección del uso del idioma,145
Edad mínima del jefe de gobierno,143
Límite a los periodos de los jueces en el Tribunal Electoral,140
Igualdad sin distinción de partido político,138
Selección del Jefe de Gobierno,137
Efecto vinculante de los derechos constitucionales,136
Derecho de portar armas,132
Planes económicos,128
Derecho a la objeción de conciencia,127
Rol del jefe de gobierno en la legislatura,126
Ombudsman,125
Derecho de renunciar a la ciudadanía,122
Anexión de territorio,121
Requisitos de los jueces del Tribunal Electoral,119
Establecimiento del Tribunal Constitucional,118
Duración de un juez del Tribunal Constitucional,111
Terrorismo,109
Secesión de territorio,108
Programación de elecciones,101
Derecho al trabajo,100
Edad mínima de los jueces que forman parte del Tribunal Electoral,97
Operación estatal de los medios,94
Igualdad sin distinción de nacionalidad,92
Protección de derechos de las víctimas,88
Referencia a la historia del país,88
Restricciones de entrada y salida,88
Comisión de telecomunicaciones,87
Límite a los periodos de los jueces en el Tribunal Constitucional,84
Derecho a la autodeterminación,80
Establecimiento de tribunales de amparo,80
Igualdad sin distinción de idioma,78
Igualdad sin distinción de edad,77
Remoción de un juez del Tribunal Constitucional,77
Reemplazo del jefe de gobierno,74
Facultades del Tribunal Constitucional,73
Derecho al desarrollo de la personalidad,71
Secreto del votos legislativo,70
Derecho al matrimonio,66
Intelectuales políticos y personajes históricos,65
Derecho a derrocar un gobierno,63
Registro público de prisiones,62
Comisión de derechos humanos,58
Duración de un juez de un tribunal administrativo,58
Requisito de publicidad de las remuneraciones,55
Publicación de deliberaciones,49
Colonias,45
Derechos de los indígenas a auto-gobierno,44
Igualdad sin distinción de estatus financiero,41
Igualdad sin distinción de origen familiar,40
Límite a los periodos de los jueces en tribunales administrativos,38
Edad mínima de los jueces que forman parte del Tribunal Constitucional,37
Tribunales para juzgar a servidores públicos,37
Edad mínima de los jueces que forman parte de tribunales administrativos,35
Tratados internacionales de derechos humanos,35
Derecho a disfrutar los beneficios de la ciencia,34
Derechos de los indígenas al voto,34
Regulación de partidos políticos,34
Precedente judicial,33
Comisión anti-corrupción,31
Derechos de los indígenas a ser representados,31
Igualdad de personas con discapacidades,31
Inmunidad del jefe de gobierno,31
Estatus del derecho canónico (religioso),30
Lema nacional,27
Cuotas de representación en la primera cámara,18
Duración del cargo de Jefe de Estado,16
Derechos de los indígenas a no pagar impuestos,15
Límites a los periodos de jefe de gobierno,13
Establecimiento de tribunales eclesiásticos,12
Partidos políticos predilectos/preferidos,11
Establecimiento de tribunales tributarios,8
Opiniones del Tribunal Constitucional,7
Derechos de indígenas a partidos políticos,6
Nacionalidad de los grupos indígenas,6
Crímenes del régimen previo,5
Derecho de indígenas a actividades ilegales,5
Igualdad sin distinción de orientación sexual,5
Facultad de decreto del jefe de gobierno,2
