nombreTopico,eventos
Duración del cargo de Jefe de Estado,564
Igualdad sin distinción de nacionalidad,564
Integración de comunidades étnicas,558
Facultad de decreto del jefe de gobierno,554
Planes económicos,542
Igualdad sin distinción de partido político,533
Derechos de los deudores,530
Inmunidad del jefe de gobierno,520
Tribunales para juzgar a servidores públicos,520
Derecho a un mercado competitivo,515
Límite a los periodos de los representantes de la segunda cámara,510
Derecho de transferencia de propiedad,498
Redistribución de la riqueza,490
Garantías de debido proceso,488
Límite a los periodos de los jueces en tribunales ordinarios,487
Tratados internacionales de derechos humanos,456
Derecho a albergue,446
Derecho de renunciar a la ciudadanía,445
Opiniones de la Corte Suprema,445
Derecho a un estándar razonable de vida,441
Efecto vinculante de los derechos constitucionales,421
Protección al consumidor,414
Límite a los periodos de los jueces en el Tribunal Constitucional,398
Intelectuales políticos y personajes históricos,395
Lema nacional,393
Voto obligatorio,383
Facultad para deportar a ciudadanos,379
Edad mínima de los jueces que forman parte de los tribunales ordinarios,371
Programación de elecciones,362
Igualdad sin distinción de estatus financiero,355
Secreto del votos legislativo,341
Establecimiento de tribunales laborales,333
Operación estatal de los medios,320
Declaración de independencia del ejecutivo,319
Derecho al desarrollo de la personalidad,311
Privilegios para menores de edad en procesos criminales,307
Financiamiento de campañas,304
Remoción de un juez del Tribunal Constitucional,304
Igualdad sin distinción de origen familiar,301
Cuotas de representación en la primera cámara,290
Derecho de amparo,290
Precedente judicial,286
Regulación de partidos políticos,267
Restricciones de entrada y salida,267
Establece la posibilidad de matrimonio civil,265
Derecho al matrimonio,262
Comisión de telecomunicaciones,259
Derecho a la autodeterminación,246
Igualdad de personas con discapacidades,246
Derecho al trabajo,238
Prohibición de castigos corporales,235
Partidos políticos predilectos/preferidos,222
Terrorismo,220
Duración de un juez del Tribunal Electoral,210
Duración de un juez de un tribunal administrativo,206
Igualdad sin distinción de tribu o clan,204
Establecimiento de tribunales eclesiásticos,185
Estatus del derecho canónico (religioso),184
Edad mínima de los jueces que forman parte del Tribunal Constitucional,178
Estatus fiscal de organizaciones religiosas,171
Derechos de los indígenas a auto-gobierno,170
Protección de derechos de las víctimas,170
Comisión de derechos humanos,167
Requisito de publicidad de las remuneraciones,166
Colonias,163
Igualdad sin distinción de edad,163
Comisión anti-corrupción,156
Derecho de portar armas,147
Límite a los periodos de los jueces en el Tribunal Electoral,140
Derechos de los indígenas a ser representados,130
Establecimiento de tribunales tributarios,125
Requisitos de los jueces del Tribunal Electoral,120
Opiniones del Tribunal Constitucional,118
Límite a los periodos de los jueces en tribunales administrativos,112
Derecho a disfrutar los beneficios de la ciencia,111
Derecho a derrocar un gobierno,109
Edad mínima de los jueces que forman parte del Tribunal Electoral,101
Establecimiento de tribunales de amparo,80
Registro público de prisiones,67
Límites a los periodos de jefe de gobierno,63
Crímenes del régimen previo,59
Derechos de los indígenas al voto,57
Edad mínima de los jueces que forman parte de tribunales administrativos,56
Nacionalidad de los grupos indígenas,50
Igualdad sin distinción de orientación sexual,38
Derecho de indígenas a actividades ilegales,32
Comisión de verdad y reconciliación,29
Derechos de los indígenas a no pagar impuestos,15
Obligación de incorporarse a un partido político,11
Derechos de indígenas a partidos políticos,6
